Crop,Question,Answer
maize,"Apart from hand weeding, what other method used to weed maize",Machinery weeders are available
beans,"Apart from insecticide, what other method used to control bean weevils?",Use resistant verities and increase on water availability for crop vigor
maize,Apart from sun drying which other method used for drying maize,Use tarpaulins or cemented floor free from dust
cassava,"Apart from sun drying, what other method can I use to dry cassava",Solar driers
beans,As a farmer when should I harvest beans.,When the beans pods are yellowish green or dry brown
general,As a farmer which method is good to prevent soil erosion,Farmers can terrace their gardens or mulch their gardens to stop erosion
general,"As a farmer, How can I control pest",Spray some pests and if possible use resistant varieties
general,"As a farmer, how can I control pig weeds in the garden?",Weed when they are young and you can also spray them
general,"As a farmer, how can I know the qualities of a good fertilizer?",Check if the chemical composition can sustain crop production well
maize,At what stage of maize growth should I apply the fertilizer,Apply around planting time in the soil and on the foliage at vegetative stage before flowering
beans,At what stage should I weed the beans?,It should be three weeks after planting
maize,At what time should I spray army worms in maize,Use cultural methods
general,At what time should a farmer do watering crops.,In the evening
cassava,Brown streak is a disease but how better can prevent it?,Plant clean material
cassava,By which means does cassava reproduce,Seed after pollination
beans,Can I use chemicals to control weeds when beans are just germinating?,"No, the herbicides will kill the young beans"
cassava,Can I use chemicals to kill weeds in a cassava garden?,"Yes, there are some chemicals that are selective"
cassava,Can cassava seeds germinate if planted?,No
cassava,Can stem cutting affected by hailstorm have good yield?,No
general,Can the chemical used for storing affect seed germination?,"No, it does not affect germination"
general,Can't spraying chemicals causes environmental pollution,Yes
general,Cant spraying chemicals affect soil?,"Yes, especially uncontrolled spraying may kill none targeted organisms, can damage soil biomass and microorganisms"
cassava,Cassava and maize which one makes a person stronger?,Both can depend on how much but cassava has more calories per kilogram
cassava,Cassava and maize which one makes you stronger in food stuff?,Cassava has more calories and maize has more proteins
cassava,Do I need to put the cassava stem in the sun for some time before planting?,"Yes, it stimulates sprouting"
general,Do we have a selective pesticide for rodent?,No
cassava,Does Uganda export cassava flour to outside countries?,Yes
cassava,Does cassava have much sugar in it when testing?,Yes but not as much as sugar cane
cassava,Does cassava mosaic affect the cassava stems?,"Yes, It makes them small and not good for planting"
general,Does locusts have poison to the Crops?,No
maize,Does planting Maize on lines help to reduce soil erosion?,Yes
beans,Does spraying beans during flowering time affect it 's ability to good yield,It may if you dont spray the right chemicals
general,During what time is good for spraying,Calm weather early in the day
cassava,For how long cassava is ready to be harvested?,9-12 months
cassava,For how long cassava takes to harvest?,For majority of varieties between 9 – 12 months
cassava,For how many times should I mulch my cassava garden,Once
maize,For how many times should I weed maize?,Weeding is done every time (at least two times)there are many weeds in the garden
cassava,Give me 10 names of cassava?,"NASE 1, NASE 2, NASE 10, NAROCASS 1"
general,Give three types of soil,"Sandy,loam and clay soils"
cassava,How can CBB be managed in a field of cassava,Uproot and burn the infected materials
general,How can I avoid pest on my crops?,Use pesticides or appropriate methods of planting
cassava,How do we deal with cassava thieve?,Hire security men to be around the garden
maize,How best can I preserve my flour to avoid it becoming dark,Dry your produce on tarpaulins or cement floor away from dust and grit that would contaminate them
general,How can I add compost manure to the soil?,Spread the manure in the garden
general,How can I add manure into the Soil?,Add and plough into the soil
beans,How can I apply fertilizer in my beans garden?,Broadcast or apply near the plant
cassava,How can I apply fertilizer in cassava garden?,Apply just when planting to improve germination and vigor
maize,How can I apply fertilizer in my maize garden?,Broad cast or apply around individual plant
general,How can I apply fertilizer to the soil?,Apply around the plant if possible broadcast
beans,How can I avoid red or orange color on my bean leaves?,Use good agric practice
general,How can I conserve Soil?,Use mulches and other practices
maize,How can I control Bacterial stalk in maize plants?,Use good cropping practices
maize,How can I control stalk rot in Maize?,Use resistant varieties
maize,How can I control Bacterial stripe in Maize plants?,Use resistant varieties and increase on water availability for crop vigor
cassava,How can I control Cassava mosaic?,Use resistant varieties of cassava and manage the crop well
cassava,How can I control Nut grass in my Cassava garden?,Spray with herbicide
maize,How can I control Stewart's disease on Maize leaves?,Use good cropping practices
beans,How can I control aphids in bean plant,Spray with pesticide
maize,How can I control bacteria leaf blight in maize,Use resistant varieties
beans,How can I control bean rust,Use resistant varieties
beans,How can I control bean weeds in my store?,Use pest control chemicals recommended in stores
beans,How can I control bean weevil during storage,"Good storage practices such as using Pico bags, storing on pallets and use of insectides when combined allow for better storage iof maize"
beans,How can I control bean weevil in my dry stored beans?,Use pesticides recommended
beans,How can I control beans weevils in my store,Use insecticides
beans,How can I control beetles in beans,Use cultural methods like planting repellants
maize,How can I control brown streaks disease in maize plant,Maize doesnt suffer from brown streak. However viral disease can be controlled using improved varieties
beans,How can I control can I control mole rat in my bean,Use rodenticides
cassava,How can I control cassava bacterial blight.,Good crop management in addition to using disease resistant varieties controls diseases
cassava,How can I control cassava brown streak diseases,Use resistant varieties of cassava and manage the crop well
cassava,How can I control cassava green mites disease in my cassava.,Before planting inspect and select materials free from disease and green mites. Also use good management practices.
cassava,How can I control cassava green mites in my cassava,Before planting inspect and select materials free from disease and green mites. Also use good management practices.
cassava,How can I control cassava green mites?,Before planting inspect and select materials free from disease and green mites. Also use good management practices.
cassava,How can I control cassava leaf folding,Control pests and drought
cassava,How can I control cassava mealy bugs,Reduce on fertilizer levels and prune off infected parts.
